start_frame,end_frame,ocr_text
92,197,"On March 20th, in Brighton, New York"
198,202,"(a town near Rochester) , a semi-trailer truck crashed"
203,204,(a town near Rochester); a semi-trailer truck crashed
205,207,"(a town near Rochester) , a semi-trailer truck crashed"
208,209,(a town near Rochester); a semi-trailer truck crashed
210,210,"(a town near Rochester) , a semi-trailer truck crashed"
211,215,(a town near Rochester); a semi-trailer truck crashed
216,216,"(a town near Rochester) , a semi-trailer truck crashed"
217,221,(a town near Rochester); a semi-trailer truck crashed
222,222,"(a town near Rochester) , a semi-trailer truck crashed"
223,226,(a town near Rochester); a semi-trailer truck crashed
227,231,"(a town near Rochester) , a semi-trailer truck crashed"
232,235,(a town near Rochester); a semi-trailer truck crashed
236,237,"(a town near Rochester) , a semi-trailer truck crashed"
238,239,(a town near Rochester); a semi-trailer truck crashed
240,240,"(a town near Rochester) , a semi-trailer truck crashed"
241,243,(a town near Rochester); a semi-trailer truck crashed
244,244,"(a town near Rochester), a semi-trailer truck crashed"
245,245,"(a town near Rochester) , a semi-trailer truck crashed"
246,251,(a town near Rochester); a semi-trailer truck crashed
252,253,"(a town near Rochester) , a semi-trailer truck crashed"
254,254,(a town near Rochester); a semi-trailer truck crashed
255,260,"(a town near Rochester) , a semi-trailer truck crashed"
261,263,(a town near Rochester); a semi-trailer truck crashed
264,265,"(a town near Rochester) , a semi-trailer truck crashed"
266,269,(a town near Rochester); a semi-trailer truck crashed
270,270,"(a town near Rochester) , a semi-trailer truck crashed"
271,272,(a town near Rochester); a semi-trailer truck crashed
273,273,"(a town near Rochester) , a semi-trailer truck crashed"
274,275,(a town near Rochester); a semi-trailer truck crashed
276,284,"(a town near Rochester) , a semi-trailer truck crashed"
285,285,(a town near Rochester); a semi-trailer truck crashed
286,286,"(a town near Rochester) , a semi-trailer truck crashed"
287,287,(a town near Rochester); a semi-trailer truck crashed
288,290,(a town near Rochester); a semi-trailer truck crashed_
291,300,(a town near Rochester); a semi-trailer truck crashed
301,301,"(a town near Rochester), a semi-trailer truck crashed"
302,302,(a town near Rochester); a semi-trailer truck crashed
303,303,"(a town near Rochester), a semi-trailer truck crashed"
304,304,(a town near Rochester); a semi-trailer truck crashed
305,305,"(a town near Rochester), a semi-trailer truck crashed"
306,307,"(a town near Rochester) , a semi-trailer truck crashed"
308,308,(a town near Rochester)  a semi-trailer truck crashed
309,310,(a town near Rochester); a semi-trailer truck crashed
311,311,(a town near Rochester)  a semi-trailer truck crashed
312,313,"(a town near Rochester) , a semi-trailer truck crashed"
314,325,(a town near Rochester); a semi-trailer truck crashed
326,327,"(a town near Rochester) , a semi-trailer truck crashed"
328,328,(a town near Rochester); a semi-trailer truck crashed
329,330,"(a town near Rochester) , a semi-trailer truck crashed"
331,331,(a town near Rochester); a semi-trailer truck crashed
332,333,"(a town near Rochester) , a semi-trailer truck crashed"
334,336,(a town near Rochester); a semi-trailer truck crashed
337,337,"(a town near Rochester) , a semi-trailer truck crashed"
338,342,(a town near Rochester); a semi-trailer truck crashed
343,343,"(a town near Rochester) , a semi-trailer truck crashed"
344,346,(a town near Rochester); a semi-trailer truck crashed
347,347,"(a town near Rochester) , a semi-trailer truck crashed"
348,348,(a town near Rochester); a semi-trailer truck crashed
349,350,"(a town near Rochester) , a semi-trailer truck crashed"
351,354,(a town near Rochester); a semi-trailer truck crashed
355,355,"(a town near Rochester) , a semi-trailer truck crashed"
356,356,(a town near Rochester); a semi-trailer truck crashed
357,357,"(a town near Rochester) , a semi-trailer truck crashed"
358,363,(a town near Rochester); a semi-trailer truck crashed
364,364,"(a town near Rochester) , a semi-trailer truck crashed"
365,366,(a town near Rochester); a semi-trailer truck crashed
367,368,"(a town near Rochester) , a semi-trailer truck crashed"
369,369,(a town near Rochester); a semi-trailer truck crashed
370,372,"(a town near Rochester), a semi-trailer truck crashed"
373,374,"(a town near Rochester) , a semi-trailer truck crashed"
376,392,into a Deaf couple's house.
393,393,into a Deaf couple's house_
394,394,into a Deaf couple's house.
395,395,into a Deaf couple's house_
396,428,into a Deaf couple's house.
429,430,into a Deaf couple's house_
431,431,into a Deaf couple's house.
432,485,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
486,491,"Angela Guerci, who is Deaf and Jon Paul Guerci"
492,516,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
517,517,"Angela Guerci; who is Deaf and Jon Paul Guerci,"
518,586,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
587,587,"Angela Guerci, who is Deaf and Jon Paul Guerci;"
588,590,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
591,603,"Angela Guerci, who is Deaf and Jon Paul Guerci;"
604,604,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
605,606,"Angela Guerci, who is Deaf and Jon Paul Guerci;"
607,608,"Angela Guerci; who is Deaf and Jon Paul Guerci,"
609,623,"Angela Guerci, who is Deaf and Jon Paul Guerci,"
624,635,"who is DeafBlind, have lived in that house for 15 years."
636,636,"who is DeafBlind, have lived in that house for 15 years:"
637,637,"who is DeafBlind, have livved in that house for 15 years:"
638,655,"who is DeafBlind, have lived in that house for 15 years."
656,656,"who is DeafBlind, have livved in that house for 15 years."
657,658,"who is DeafBlind, have livved in that house for 15 years:"
659,659,"who is DeafBlind, have lived in that house for 15 years."
660,660,"who is DeafBlind, have livved in that house for 15 years:"
661,662,"who is DeafBlind, have lived in that house for 15 years:"
663,664,"who is DeafBlind, have lived in that house for 15 years."
665,666,"who is DeafBlind, have livved in that house for 15 years:"
667,670,"who is DeafBlind, have lived in that house for 15 years:"
671,671,"who is DeafBlind, have lived in that house for 15 years."
672,672,"who is DeafBlind, have lived in that house for 15 years:"
673,674,"who is DeafBlind, have livved in that house for 15 years:"
675,677,"who is DeafBlind, have lived in that house for 15 years."
678,679,"who is DeafBlind, have lived in that house for 15 years:"
680,680,"who is DeafBlind, have lived in that house for 15 years."
681,685,"who is DeafBlind, have lived in that house for 15 years:"
686,686,"who is DeafBlind, have lived in that house for 15 years."
687,690,"who is DeafBlind, have lived in that house for 15 years:"
691,691,"who is DeafBlind, have lived in that house for 15 years."
692,693,"who is DeafBlind, have livved in that house for 15 years."
694,694,"who is DeafBlind, have lived in that house for 15 years."
695,695,"who is DeafBlind, have livved in that house for 15 years:"
696,696,"who is DeafBlind, have lived in that house for 15 years:"
697,698,"who is DeafBlind, have lived in that house for 15 years."
699,699,"who is DeafBlind, have lived in that house for 15 years:"
700,702,"who is DeafBlind, have lived in that house for 15 years."
703,704,"who is DeafBlind, have lived in that house for 15 years_"
705,707,"who is DeafBlind, have lived in that house for 15 years."
708,708,"who is DeafBlind, have livved in that house for 15 years:"
709,710,"who is DeafBlind, have lived in that house for 15 years."
711,711,"who is DeafBlind, have lived in that house for 15 years:"
712,713,"who is DeafBlind, have livved in that house for 15 years."
714,714,"who is DeafBlind, have lived in that house for 15 years."
715,715,"who is DeafBlind, have livved in that house for 15 years:"
716,716,"who is DeafBlind, have lived in that house for 15 years."
717,718,"who is DeafBlind , have lived in that house for 15 years."
719,719,"who is DeafBlind, have lived in that house for 15 years."
720,720,"who is DeafBlind, have livved in that house for 15 years."
721,721,"who is DeafBlind, have lived in that house for 15 years."
722,722,"who is DeafBlind, have livved in that house for 15 years."
723,724,"who is DeafBlind, have lived in that house for 15 years."
725,725,"who is DeafBlind, have livved in that house for 15 years."
726,767,Both of them have 3 kids.
768,768,Both of them have 3 kids
769,771,Both of them have 3 kids.
773,896,Angela and her 3rd kid who is 9 years old were the only ones
897,897,Angela and her 3rd kid who is 9 years old were the ones only
898,919,Angela and her 3rd kid who is 9 years old were the only ones
920,963,in the house during the time and
964,964,in the house during  the time and
965,969,in the house during the time and
970,987,"the family is grateful that it was not a ""full"" house"
988,990,"the family is grateful that  it was not a ""full"" house"
991,1064,"the family is grateful that it was not a ""full"" house"
1065,1066,"the family is grateful that  it was not a ""full"" house"
1067,1072,"the family is grateful that it was not a ""full"" house"
1073,1074,"the family is grateful that  it was not a ""full"" house"
1075,1134,"the family is grateful that it was not a ""full"" house"
1136,1142,when the semi-trailer truck crashed in.
1143,1143,when the semi-trailer truck crashed in:
1144,1144,when the semi-trailer truck crashed in.
1145,1147,when the semi-trailer truck crashed in:
1148,1148,when the semi-trailer truck crashed in.
1149,1149,when the semi-trailer truck crashed in:
1150,1162,when the semi-trailer truck crashed in.
1163,1163,when the semi-trailer truck crashed in:
1164,1164,when the semi-trailer truck crashed in.
1165,1170,when the semi-trailer truck crashed in:
1171,1176,when the semi-trailer truck crashed in.
1177,1177,when the semi-trailer truck crashed in:
1178,1186,when the semi-trailer truck crashed in.
1187,1187,when the semi-trailer truck crashed in:
1188,1188,when the semi-trailer truck crashed in.
1189,1190,when the semi-trailer truck crashed in
1191,1191,when the semi-trailer truck crashed in.
1192,1192,when the semi-trailer F truck crashed in.
1193,1195,when the semi-trailer truck crashed in.
1196,1199,We will show you a video clip from a local news:
1200,1200,We will show you a video clip  from a local news:
1201,1202,We will show you a video clip E from a local news:
1203,1205,We will show you a video clip from a local news:
1206,1206,We will show you a video clip _ from a local news:
1207,1279,We will show you a video clip from a local news:
1280,1280,We will show you a video from a local news: clip
1281,1282,We will show you a video clip from a local news:
1283,1284,We will show you a video clip  from a local news:
1285,1286,We will show you a video clip E from a local news:
1287,1288,We will show you a video clip _ from a local news:
1289,1289,We will show you a video clip F from a local news:
1290,1293,We will show you a video clip _ from a local news:
1294,1294,We will show you a video clip  from a local news:
1295,1295,We will show you a video clip E from a local news:
1296,1296,We will show you a video clip _ from a local news:
1508,1564,That's when Baker says
1565,1666,daughter called 9-1-1 and then
1667,1690,left the door to what's going
